Modelo,Situação,RMSE Max,RMSE Min,RMSE Mean,RMSE Std
GCLSTM,Bracis,5327.533525165932,1337.5520715998553,3535.3766402558404,1179.6068191617323
GCLSTM,Sem Janela,4564.234501732775,1050.9285491658372,2268.274081460879,1189.0871877071208
GCLSTM,Com Janela,4549.679041127395,443.17021647879443,1150.347679203437,924.2820339253764
GCLSTM,Backbone,4059.0759859208783,249.74949011210273,682.1430488569225,950.8753767377856
GCRN,Bracis,4598.267060015211,1178.7628226997037,2990.401514011331,1000.013569477282
GCRN,Sem Janela,4743.175816273227,804.7928002277588,2102.268383040176,1336.7805641634986
GCRN,Com Janela,4560.398657620545,709.1137695953571,1315.4737104129742,852.5785223051643
GCRN,Backbone,4173.208675168912,150.2340605024533,560.9188058430327,875.3871864445566
